,Model,Accuracy,Precision,Recall,F1
0,Logistic Regression,0.6737588652482269,0.4,0.42105263157894735,0.41025641025641024
1,Random Forest,0.75177304964539,0.5652173913043478,0.34210526315789475,0.4262295081967213
2,XGBoost,0.723404255319149,0.48,0.3157894736842105,0.38095238095238093
